Hannah Abbott
Ludo Bagman
Bathilda Bagshot
Katie Bell
Cuthbert Binns
Phineas Black
Sirius Black
Amelia Bones
Susan Bones
Terry Boot
Lavender Brown
Millicent Bulstrode
Charity Burbage
Frank Bryce
Alecto Carrow
Amycus Carrow
Reginald Cattermole
Cho Chang
Penelope Clearwater
Crabbe
Vincent Crabbe
Colin Creevey
Dennis Creevey
Dirk Cresswell
Barty Crouch
Barty Crouch
John Dawlish
Fleur Delacour
Gabrielle Delacour
Dedalus Diggle
Amos Diggory
Cedric Diggory
Elphias Doge
Antonin Dolohov
Aberforth Dumbledore
Albus Dumbledore
Ariana Dumbledore
Kendra Dumbledore
Percival Dumbledore
Dudley Dursley
Marge Dursley
Petunia Dursley
Vernon Dursley
Marietta Edgecombe
Arabella Figg
Argus Filch
Justin Finch-Fletchley
Seamus Finnigan
Nicolas Flamel
Mundungus Fletcher
Filius Flitwick
Cornelius Fudge
Marvolo Gaunt
Merope Gaunt
Morfin Gaunt
Anthony Goldstein
Gregory Goyle
Hermione Granger
Astoria Greengrass
Gregorovitch
Fenrir Greyback
Gellert Grindelwald
Wilhelmina Grubbly-Plank
Godric Gryffindor
Rubeus Hagrid
Rolanda Hooch
Mafalda Hopkirk
Helga Hufflepuff
Angelina Johnson
Lee Jordan
Bertha Jorkins
Igor Karkaroff
Viktor Krum
Silvanus Kettleburn
Bellatrix Lestrange
Gilderoy Lockhart
Alice Longbottom
Frank Longbottom
Augusta Longbottom
Neville Longbottom
Luna Lovegood
Xenophilius Lovegood
Remus Lupin
Walden Macnair
Draco Malfoy
Lucius Malfoy
Narcissa Malfoy
Scorpius Malfoy
Madam Malkin
Griselda Marchbanks
Olympe Maxime
Ernie Macmillan
Minerva McGonagall
Eloise Midgen
Cormac McLaggen
Graham Montague
Alastor Moody
Theodore Nott
Nott Sr
Bob Ogden
Garrick Ollivander
Pansy Parkinson
Padma Patil
Parvati Patil
Peter Pettigrew
Antioch Peverell
Cadmus Peverell
Ignotus Peverell
Irma Pince
Sturgis Podmore
Poppy Pomfrey
Harry Potter
James Potter
Lily Potter
Albus Potter
James Potter
Quirinus Quirrell
Helena Ravenclaw
Rowena Ravenclaw
Delphi Riddle
Mary Riddle
Thomas Riddle
Demelza Robins
Augustus Rookwood
Thorfinn Rowle
Albert Runcorn
Newt Scamander
Rufus Scrimgeour
Kingsley Shacklebolt
Stan Shunpike
Aurora Sinistra
Rita Skeeter
Horace Slughorn
Salazar Slytherin
Zacharias Smith
Severus Snape
Alicia Spinnet
Pomona Sprout
Pius Thicknesse
Dean Thomas
Andromeda Tonks
Nymphadora Tonks
Ted Tonks
Sybill Trelawney
Wilkie Twycross
Dolores Umbridge
Emmeline Vance
Romilda Vane
Septima Vector
Voldemort
Myrtle Warren
Arthur Weasley
Bill Weasley
Charlie Weasley
Fred Weasley
George Weasley
Ginny Weasley
Hugo Weasley
Molly Weasley
Percy Weasley
Ron Weasley
Oliver Wood
Rose Weasley
Corban Yaxley
Blaise Zabini
Aragog
Bane
Beedle
Bogrod
Buckbeak
Cadogan
Crookshanks
Dobby
Errol
Fang
Fawkes
Firenze
Fluffy
Gornuk
Grawp
Griphook
Hedwig
Hokey
Kreacher
Magorian
Muriel
Nagini
Nick
Norbert
Peeves
Pigwidgeon
Rosmerta
Ronan
Scabbers
Scabior
Travers
Trevor
Winky
